question,bloom_taxonomy_level
Explain how a Zener diode acts as a voltage regulator.,Understanding
"Define Î±, Î², and Î³ of a transistor. Show how they are related to each other.",Remembering
Explain the concept of transaction management in DBMS.,Understanding
What is skip distance?,Remembering
Explain the construction and tunneling phenomenon of a Tunnel diode.,Understanding
Discuss in detail about Peer-to-Peer and Dedicated Client/Server networks.,Understanding
Explain different ways of communication between the serial communication ports.,Understanding
Describe the difference between cable modems and standard voice band modems.,Understanding
Explain diode compensation against variations in base-emitter voltage (VBE).,Understanding
What are FPGAs? Explain about the principle and operation of FPGAs. What are its applications?,Understanding
Explain in detail about the First Generation Analog Cellular Telephone system.,Understanding
Distinguish between Serial and Parallel Data Transmission.,Understanding
Explain the defuzzification module.,Understanding
Draw and explain the optical fiber communication system.,Understanding
What are different disk scheduling algorithms? Explain with examples.,Remembering
Explain why it is better to fix the quiescent operating point in the middle of the active region.,Evaluating
What are the different types of wireless networks?,Remembering
What is meant by Modem Synchronization?,Remembering 
Write down the equations for Ids of an n-channel enhancement MOSFET operating in non-saturated and saturated regions.,Remembering
Write a brief note on GSM Services.,Remembering
Write short notes on 56K Modems.,Remembering
Explain the construction and operation of an SCR.,Understanding
What are DSU and CSU?,Remembering
Design a NOR gate using pass transistor logic.,Applying
Explain backward chaining and its applications.,Understanding 
Explain body bias effect and source degeneration of a common-source amplifier.,Understanding
Explain the decoding logic for a DPSK demodulator.,Understanding 
What are paging and segmentation in memory management?,Remembering
Explain the construction and operation of an SCR.,Understanding
Define and explain Free-Space path loss and Skip Distance.,Remembering 
"Choose values of VGS = 1,2,3,4 and SV, assume that the channel modulation parameter is zero. Sketch to scale the output characteristics of an enhancement n-channel device if VT = 0.7V and ID = 500ÂµA when VGS = 5V in saturation.",Applying
Draw the block diagram of Simplex Microwave Radio Link and explain it.,Remembering 
Write the advantages of optical fiber communication.,Remembering
Explain Î»-based design rules in VLSI circuits.,Understanding
Mention the standard organizations for data communications.,Remembering
Classify MOS scaling types and derive their effects on MOSFET parameters.,Analyzing
What are control strategies in AI problem-solving?,Remembering 
What are the different types of forecasting methods?,Remembering
Explain the working of Ethernet and its frame structure.,Understanding
Explain the difference between Bayesian and certainty factor models.,Understanding
What is a subnet mask? How is it used in networking?,Remembering 
Explain TFET technology.,Understanding
What is the difference between â€˜Hardâ€™ and â€˜Softâ€™ real-time systems? Give an example for â€˜Hardâ€™ and â€˜Softâ€™ Real-Time kernels.,Analyzing
Explain the BiCMOS process over CMOS technology.,Understanding 
Write short notes on Cordless Telephones and Electronic Telephones.,Remembering
List out the advantages and disadvantages of optical fiber transmission.,Remembering
Discuss the role of AI in fraud detection.,Understanding 
Discuss the Non-Linear PCM Codes.,Understanding
"Draw circuits using CMOS, pseudo NMOS, and DCVS ",Applying 
Explain sheet resistance ( R s ) applied to MOS transistors.,Understanding
Explain transistorized bias compensation against variations in base-emitter voltage (VBE).,Understanding 
Write about the classification of Voice-Band Modem.,Understanding
Define Information Capacity and explain about M-ary Encoding.,Understanding
Discuss briefly about Digital Modulation Systems.,Understanding
Explain Digital Modulation with the help of a simplified block diagram.,Remembering 
What are the different types of network protocols?,Remembering
Draw and explain the operation of a common-source amplifier.,Understanding 
Discuss the generalized analysis of a transistor amplifier model using h-parameters.,Analyzing
Draw the VLSI design flow diagram and explain.,Understanding 
How does machine learning enhance data analytics?,Understanding 
Define Open Systems Interconnection (OSI).,Remembering
Write about FPGA programming technologies in detail.,Understanding
Explain the generation of PAM with mathematical analysis.,Understanding
Write a brief note on the predominant losses in optical fiber cables.,Understanding
Explain the concept of Paging Systems.,Understanding
Compare different amplitude modulation techniques.,Understanding
Describe inter-process communication (IPC) mechanisms in OS.,Understanding
How does AI contribute to financial market predictions?,Understanding
Write a detailed note on Retransmission and Forward Error Correction.,Understanding
Discuss about Geosynchronous satellites.,Understanding
Explain the body bias effect of a MOSFET in detail.,Understanding
What is a recurrent network? Explain.,Understanding
What is kernel? What are the different functions handled by a general-purpose kernel? Explain in detail.,Understanding
Explain how thermistors are used for bias compensation.,Understanding
"Explain 2 Âµm Double Metal, Double Poly CMOS / Bi-CMOS rules.",Understanding
How does DHCP work in dynamic IP allocation?,Understanding
Explain the term setup time and hold time in VLSI circuits.,Understanding
Discuss the operation of a UJT with necessary diagrams.,Understanding
Explain how a superheterodyne receiver works.,Understanding
What is Time-Division Multiplexing? Explain with block diagram.,Understanding
Draw and explain the routing architecture of field-programmable gate arrays (FPGAs).,Understanding
Describe Bankerâ€™s Algorithm for deadlock avoidance.,Understanding
Discuss the Linear PCM Codes.,Understanding
Explain the various elements of an embedded system development environment.,Understanding
What is a protocol? Give the key elements of a protocol.,Remembering
Create a new encryption algorithm for securing IoT devices from cyber threats.,Creating
What is the principle of Amplitude Modulation? Derive the expression for the AM wave and draw its spectrum.,Understanding
Explain how compressors and expanders are used for non-uniform quantization.,Understanding
What is Big Data Analytics? Why is it important?,Understanding
List and explain the three orbital patterns used by satellites.,Understanding
What are Microwaves? What are the advantages and disadvantages of Microwave Radio Communications?,Understanding
Define the Fermi level and explain its significance in energy band diagrams.,Understanding
What are the disadvantages in Optical Fiber Cables?,Remembering
Describe constraint satisfaction problems with examples.,Understanding
What is a common-drain amplifier? How do you find the voltage gain of a common-drain amplifier?,Understanding
Explain deep submicron processes with schematic diagrams.,Understanding
"Compare the different transistor amplifier configurations CE, CB, and CC.",Understanding
Write a short note on current sources and sinks.,Remembering
Discuss the breakdown mechanisms in semiconductor diodes.,Understanding
Draw and explain the small-signal model for the MOS transistor.,Understanding
Define Voice-Band Modem. Draw and discuss the Voice-Band Modem Block Diagram.,Understanding
"Draw different shapes of membership functions and create one for the age groups: young"" ""middle-aged"" and ""old.""",Creating
Discuss briefly about Analog Modulation Systems.,Understanding
Explain syndrome decoding and its error pattern identification.,Understanding
What is lambda in economic dispatch?,Remembering
What is a stick diagram? Draw the stick diagram and layout for a CMOS inverter.,Understanding
State Snellâ€™s law for refraction.,Remembering
Develop an AI-based chatbot that adapts its response based on the emotional tone of the user.,Creating
Explain the step-by-step approach of FPGA design in the Xilinx environment.,Understanding
Explain the concept of short-channel effects in detail.,Understanding
"Explain static, dynamic, and domino logics with examples.",Understanding
Existing SRAM designs face a challenge in reducing leakage current. Construct a new cell architecture that minimizes this issue while maintaining speed.,Creating
Explain the need for biasing in electronic circuits. What factors affect the stability factor?,Understanding
What is Electrical noise? Write in brief the most prevalent types of Electrical noise.,Remembering
"Draw the schematic diagram, stick diagram, and layout of a 2-input CMOS NAND gate.",Applying
Define expert systems.,Remembering
Develop a new eco-friendly plastic alternative using biodegradable materials.,Creating
"If you had to create a new type of logic gate that operates with only 2 transistors, what would its functionality be, and how would it integrate into complex circuits?",Creating
Create a new braking system for bicycles that improves safety in wet conditions.,Creating
Explain design rules for layouts.,Understanding
Explain different wiring capacitances used in gate-level design with an example.,Understanding
Draw and explain the operation of a common-source amplifier.,Understanding
Write a detailed note on Wavelength Division Multiplexing.,Understanding
Explain the BiCMOS process over CMOS technology.,Understanding
Explain the advantages of â€˜High Level languageâ€™ based â€˜Embedded firmwareâ€™ development.,Understanding
Explain recurrent neural networks (RNNs) and their applications.,Understanding
Design a process to optimize the extraction of lithium for battery production.,Creating
Compare preemptive and non-preemptive scheduling.,Understanding
What are the benefits of h-parameters?,Understanding
What is the early effect? Explain the effect of the early effect on transistor characteristics.,Understanding
Define the following: i) Clarke orbit ii) Free-space path loss.,Remembering
Explain the sigmoid function with a neat sketch.,Understanding
What are heuristics in AI search techniques?,Remembering
How does a distributed database work? Explain advantages and disadvantages.,Understanding
What are the limitations in selecting the operating region in a transistor circuit?,Understanding
What is meant by Network Topology? Draw and explain the structure of all Multipoint Topologies.,Understanding
Design a new type of gearbox that improves efficiency by 30% for an electric vehicle.,Creating
Write about the modes of propagation of light through optical fiber.,Remembering
"With necessary equations, derive charge densities in a semiconductor material.",Applying
Define Multiplexing. Explain briefly about Time-Division Multiplexing (TDM).,Understanding
Discuss the limits of scaling and explain why scaling is necessary for VLSI circuits.,Understanding
Explain small signal analysis of a common-source FET amplifier.,Understanding
Explain pipelining in digital circuits and its advantages.,Understanding
What is COMPANDING? Write about ANALOG COMPANDING.,Remembering
Draw the small signal model of an FET and explain the significance of each element.,Understanding
What is meant by Frequency-Division Multiplexing? Give the applications.,Remembering
Describe Time-Division Multiple Accessing.,Remembering
What are the challenges in AI deployment at scale?,Analyzing
Draw the state transition diagram for a convolutional encoder with given equations.,Applying
Explain clocked CMOS registers in detail.,Applying
Discuss Electromagnetic Polarization.,Understanding
Explain delay estimation and MOSFET sizing.,Applying
What are the Optical Properties of Radio Waves?,Remembering
Discuss the breakdown mechanisms in semiconductor diodes.,Understanding
Explain how the Q-point is obtained graphically.,Understanding
Tabulate the comparisons between n-well and p-well CMOS fabrication processes.,Analyzing
Explain TCP vs. UDP with examples.,Understanding
Explain in detail about the TCP/IP protocol suite.,Understanding
Explain in detail about the threshold effect in an Angle Modulation System.,Understanding
Discuss the role of Automatic Gain Control (AGC) in AM receivers.,Remembering
Draw and explain the GSM system Architecture.,Applying
What are the benefits of h-parameters?,Understanding
Explain different architectures of artificial neural networks with diagrams.,Understanding
Write a short note on layered network architecture.,Remembering
Explain the concept of adversarial attacks on AI models.,Understanding
Describe the difference between wave attenuation and wave absorption.,Understanding
Explain the classification of embedded systems with examples.,Understanding
What is the role of quality attributes in the embedded system development context? Explain the different Quality attributes to be considered in an embedded system design.,Analyzing
Define relational algebra and its operations.,Remembering
What is the role of MAC addresses in networking?,Remembering
"Compare fixed, collector-to-base, and self-bias circuits.",Analyzing
List three different techniques in Serial Transmission and explain the differences.,Analyzing
Draw the circuit diagram of an SR Master-Slave register and explain its operation.,Understanding
How does reinforcement learning work in gaming applications?,Applying
Explain swarm intelligence techniques such as ant colony optimization.,Understanding
Define the Fermi level and explain its significance in energy band diagrams.,Understanding
What is Digital Line Encoding? Explain any four factors that should be considered when selecting a Line Encoding format.,Understanding
Create a neural network model that can classify handwritten digits with 99.9% accuracy and justify your design choices.,Creating
Write a detailed note on Satellite Multiple-Accessing arrangements.,Understanding
Explain the importance of setup and hold time in CMOS circuits.,Understanding
"What is SQR and give its relationship to resolution, dynamic range, and maximum number of bits in a PCM code?",Understanding
Explain about Skip Distance and Free-space Path Loss.,Understanding
Explain Call Progress Tones and Signals.,Understanding
Fake news detection relies heavily on textual analysis and source verification. Can you propose a new method that identifies misinformation without depending on these techniques?,Creating
Discuss the properties of Electromagnetic Radiation.,Understanding
"Derive expressions for input impedance, voltage gain, and output impedance of a common-source amplifier.",Applying
Formulate a new data compression technique that provides better lossless compression for video files.,Creating
Use Schwartz inequality to find Hopt(f) for a matched filter.,Applying
Explain the working of a depletion-type MOSFET.,Understanding
What is a DBMS? List its advantages over file systems.,Remembering
Draw the schematic circuit of an SR flip flop with negative edge triggering using NAND gates. Give its truth table and explain its operation.,Applying
Write a brief note on the predominant losses in optical fiber cables.,Understanding
Discuss the use of AI in sentiment analysis.,Understanding
Define the following terms: i) Drain resistance ii) Transconductance iii) Amplification factor,Remembering
Explain SR Master-Slave registers with a diagram.,Applying
"Compare centralized, decentralized, and distributed databases.",Understanding
Calculate the ON resistance of an inverter from VDD to GND given sheet resistances.,Applying
"Compute entropy for a source with symbols A, B, C (probabilities 0.5, 0.3, 0.2) and develop Huffman code.",Applying
Design a robotic arm with multiple degrees of freedom for a manufacturing process.,Creating
"Generate codewords for cyclic BCH (15,5) code using g(x)=x10+x8+x5+x4+x2+x+1.",Applying
What are the functionalities of an operating system?,Remembering
Explain in detail about Mobile Telephone Services.,Understanding
How is AI used in robotics and automation?,Understanding
Explain the operation of a single-stage amplifier with a diode-connected load.,Understanding
Analyze a CMOS inverter with its transfer characteristics.,Analyzing
Classify and explain Data Communication Character Codes.,Understanding
Obtain CB parameters in terms of CE parameters.,Applying
Explain in detail about Electromagnetic Polarization and Optical properties of radio waves.,Understanding
Write a short note on Multi-Frequency and Dial Pulses.,Remembering
What is aperture effect? Explain.,Understanding
Define Signal Analysis. Give a brief description of periodic signals.,Remembering
Explain the importance of chatbots in customer service.,Understanding
Write short notes on the ultra-deep-submicron era.,Remembering
Explain the operation of a photo transistor.,Understanding
Demodulate a PSK signal using a coherent receiver.,Applying
Explain FinFET technology and its advantages over MOSFETs.,Understanding
Explain briefly about the losses in Optical Fiber cables.,Understanding
Explain the problem of driving large capacitive loads. How can such loads be driven?,Understanding
Discuss the applications of AI.,Understanding
Explain different types of operating systems with examples.,Understanding
Design a gear system that can efficiently transfer motion between two non-parallel shafts. Explain your design choices.,Creating
Explain the significance of Pre-emphasis and De-emphasis in FM transmission.,Understanding
Explain the body bias effect.,Understanding
List out the difference between analog and digital systems.,Remembering
Explain Call Progress Tones and Signals.,Understanding
Explain OSI and TCP/IP models in computer networks.,Understanding
Explain the characteristics of neural networks.,Understanding
Explain the concept of punch-through/reach-through in a BJT.,Understanding
What is the role of stored procedures in DBMS?,Understanding
Discuss about laser diode.,Understanding
List out major application areas of embedded systems with examples.,Remembering
