question,bloom_taxonomy_level,Unnamed: 2
What is meant by intrinsic and extrinsic semiconductors? Explain.,Understand,
Write about the functions of the Telephone Set in detail.,Understand,
Explain how a Zener diode acts as a voltage regulator.,Understand,
"Define Î±, Î², and Î³ of a transistor. Show how they are related to each other.",Remember,
Explain the concept of transaction management in DBMS.,Understand,
What is skip distance?,Remember,
Explain the construction and tunneling phenomenon of a Tunnel diode.,Understand,
Discuss in detail about Peer-to-Peer and Dedicated Client/Server networks.,Understand,
Explain different ways of communication between the serial communication ports.,Understand,
Describe the difference between cable modems and standard voice band modems.,Understand,
Explain diode compensation against variations in base-emitter voltage (VBE).,Understand,
What are FPGAs? Explain about the principle and operation of FPGAs. What are its applications?,Understand,
Explain in detail about the First Generation Analog Cellular Telephone system.,Understand,
Distinguish between Serial and Parallel Data Transmission.,Understand,
Explain the defuzzification module.,Understand,
Draw and explain the optical fiber communication system.,Understand,
What are different disk scheduling algorithms? Explain with examples.,Remember,
Explain why it is better to fix the quiescent operating point in the middle of the active region.,Evaluate,
What are the different types of wireless networks?,Remember,
What is meant by Modem Synchronization?,Remember ,
Write down the equations for Ids of an n-channel enhancement MOSFET operating in non-saturated and saturated regions.,Remember,
Write a brief note on GSM Services.,Remember,
Write short notes on 56K Modems.,Remember,
Explain the construction and operation of an SCR.,Understand,
What are DSU and CSU?,Remember,
Design a NOR gate using pass transistor logic.,Apply,
Explain backward chaining and its applications.,Understand ,
Explain body bias effect and source degeneration of a common-source amplifier.,Understand,
Explain the decoding logic for a DPSK demodulator.,Understand ,
What are paging and segmentation in memory management?,Remember,
Explain the construction and operation of an SCR.,Understand,
Define and explain Free-Space path loss and Skip Distance.,Remember ,
"Choose values of VGS = 1,2,3,4 and SV, assume that the channel modulation parameter is zero. Sketch to scale the output characteristics of an enhancement n-channel device if VT = 0.7V and ID = 500ÂµA when VGS = 5V in saturation.",Apply,
Draw the block diagram of Simplex Microwave Radio Link and explain it.,Remember ,
Write the advantages of optical fiber communication.,Remember,
Explain Î»-based design rules in VLSI circuits.,Understand,
Mention the standard organizations for data communications.,Remember,
Classify MOS scaling types and derive their effects on MOSFET parameters.,Analyze,
What are control strategies in AI problem-solving?,Remember ,
What are the different types of forecasting methods?,Remember,
Explain the working of Ethernet and its frame structure.,Understand,
Explain the difference between Bayesian and certainty factor models.,Understand,
What is a subnet mask? How is it used in networking?,Remember ,
Explain TFET technology.,Understand,
What is the difference between â€˜Hardâ€™ and â€˜Softâ€™ real-time systems? Give an example for â€˜Hardâ€™ and â€˜Softâ€™ Real-Time kernels.,Analyze,
Explain the BiCMOS process over CMOS technology.,Understand ,
Write short notes on Cordless Telephones and Electronic Telephones.,Remember,
List out the advantages and disadvantages of optical fiber transmission.,Remember,
Discuss the role of AI in fraud detection.,Understand ,
Discuss the Non-Linear PCM Codes.,Understand,
"Draw circuits using CMOS, pseudo NMOS, and DCVS ",Apply ,
Explain sheet resistance ( R s ) applied to MOS transistors.,Understand,
Explain transistorized bias compensation against variations in base-emitter voltage (VBE).,Understand ,
Write about the classification of Voice-Band Modem.,Understand,
Define Information Capacity and explain about M-ary Encoding.,Understand,
Discuss briefly about Digital Modulation Systems.,Understand,
Explain Digital Modulation with the help of a simplified block diagram.,Remember ,
What are the different types of network protocols?,Remember,
Draw and explain the operation of a common-source amplifier.,Understand ,
Discuss the generalized analysis of a transistor amplifier model using h-parameters.,Analyze,
Draw the VLSI design flow diagram and explain.,Understand ,
How does machine learning enhance data analytics?,Understand ,
Define Open Systems Interconnection (OSI).,Remember,
Write about FPGA programming technologies in detail.,Understand,
Explain the generation of PAM with mathematical analysis.,Understand,
Write a brief note on the predominant losses in optical fiber cables.,Understand,
Explain the concept of Paging Systems.,Understand,
Compare different amplitude modulation techniques.,Understand,
Describe inter-process communication (IPC) mechanisms in OS.,Understand,
How does AI contribute to financial market predictions?,Understand,
Write a detailed note on Retransmission and Forward Error Correction.,Understand,
Discuss about Geosynchronous satellites.,Understand,
Explain the body bias effect of a MOSFET in detail.,Understand,
What is a recurrent network? Explain.,Understand,
What is kernel? What are the different functions handled by a general-purpose kernel? Explain in detail.,Understand,
Explain how thermistors are used for bias compensation.,Understand,
"Explain 2 Âµm Double Metal, Double Poly CMOS / Bi-CMOS rules.",Understand,
How does DHCP work in dynamic IP allocation?,Understand,
Explain the term setup time and hold time in VLSI circuits.,Understand,
Discuss the operation of a UJT with necessary diagrams.,Understand,
Explain how a superheterodyne receiver works.,Understand,
What is Time-Division Multiplexing? Explain with block diagram.,Understand,
Draw and explain the routing architecture of field-programmable gate arrays (FPGAs).,Understand,
Describe Bankerâ€™s Algorithm for deadlock avoidance.,Understand,
Discuss the Linear PCM Codes.,Understand,
Explain the various elements of an embedded system development environment.,Understand,
What is a protocol? Give the key elements of a protocol.,Remember,
Create a new encryption algorithm for securing IoT devices from cyber threats.,Create,
What is the principle of Amplitude Modulation? Derive the expression for the AM wave and draw its spectrum.,Understand,
Explain how compressors and expanders are used for non-uniform quantization.,Understand,
What is Big Data Analytics? Why is it important?,Understand,
List and explain the three orbital patterns used by satellites.,Understand,
What are Microwaves? What are the advantages and disadvantages of Microwave Radio Communications?,Understand,
Define the Fermi level and explain its significance in energy band diagrams.,Understand,
What are the disadvantages in Optical Fiber Cables?,Remember,
Describe constraint satisfaction problems with examples.,Understand,
What is a common-drain amplifier? How do you find the voltage gain of a common-drain amplifier?,Understand,
Explain deep submicron processes with schematic diagrams.,Understand,
"Compare the different transistor amplifier configurations CE, CB, and CC.",Understand,
Write a short note on current sources and sinks.,Remember,
Discuss the breakdown mechanisms in semiconductor diodes.,Understand,
Draw and explain the small-signal model for the MOS transistor.,Understand,
Define Voice-Band Modem. Draw and discuss the Voice-Band Modem Block Diagram.,Understand,
"Draw different shapes of membership functions and create one for the age groups: young"" ""middle-aged"" and ""old.""",Create,
Discuss briefly about Analog Modulation Systems.,Understand,
Explain syndrome decoding and its error pattern identification.,Understand,
What is lambda in economic dispatch?,Remember,
What is a stick diagram? Draw the stick diagram and layout for a CMOS inverter.,Understand,
State Snellâ€™s law for refraction.,Remember,
Develop an AI-based chatbot that adapts its response based on the emotional tone of the user.,Create,
Explain the step-by-step approach of FPGA design in the Xilinx environment.,Understand,
Explain the concept of short-channel effects in detail.,Understand,
"Explain static, dynamic, and domino logics with examples.",Understand,
Existing SRAM designs face a challenge in reducing leakage current. Construct a new cell architecture that minimizes this issue while maintaining speed.,Create,
Explain the need for biasing in electronic circuits. What factors affect the stability factor?,Understand,
What is Electrical noise? Write in brief the most prevalent types of Electrical noise.,Remember,
"Draw the schematic diagram, stick diagram, and layout of a 2-input CMOS NAND gate.",Apply,
Define expert systems.,Remember,
Develop a new eco-friendly plastic alternative using biodegradable materials.,Create,
"If you had to create a new type of logic gate that operates with only 2 transistors, what would its functionality be, and how would it integrate into complex circuits?",Create,
Create a new braking system for bicycles that improves safety in wet conditions.,Create,
Explain design rules for layouts.,Understand,
Explain different wiring capacitances used in gate-level design with an example.,Understand,
Draw and explain the operation of a common-source amplifier.,Understand,
Write a detailed note on Wavelength Division Multiplexing.,Understand,
Explain the BiCMOS process over CMOS technology.,Understand,
Explain the advantages of â€˜High Level languageâ€™ based â€˜Embedded firmwareâ€™ development.,Understand,
Explain recurrent neural networks (RNNs) and their applications.,Understand,
Design a process to optimize the extraction of lithium for battery production.,Create,
Compare preemptive and non-preemptive scheduling.,Understand,
What are the benefits of h-parameters?,Understand,
What is the early effect? Explain the effect of the early effect on transistor characteristics.,Understand,
Define the following: i) Clarke orbit ii) Free-space path loss.,Remember,
Explain the sigmoid function with a neat sketch.,Understand,
What are heuristics in AI search techniques?,Remember,
How does a distributed database work? Explain advantages and disadvantages.,Understand,
What are the limitations in selecting the operating region in a transistor circuit?,Understand,
What is meant by Network Topology? Draw and explain the structure of all Multipoint Topologies.,Understand,
Design a new type of gearbox that improves efficiency by 30% for an electric vehicle.,Create,
Write about the modes of propagation of light through optical fiber.,Remember,
"With necessary equations, derive charge densities in a semiconductor material.",Apply,
Define Multiplexing. Explain briefly about Time-Division Multiplexing (TDM).,Understand,
Discuss the limits of scaling and explain why scaling is necessary for VLSI circuits.,Understand,
Explain small signal analysis of a common-source FET amplifier.,Understand,
Explain pipelining in digital circuits and its advantages.,Understand,
What is COMPANDING? Write about ANALOG COMPANDING.,Remember,
Draw the small signal model of an FET and explain the significance of each element.,Understand,
What is meant by Frequency-Division Multiplexing? Give the applications.,Remember,
Describe Time-Division Multiple Accessing.,Remember,
What are the challenges in AI deployment at scale?,Analyze,
Draw the state transition diagram for a convolutional encoder with given equations.,Apply,
Explain clocked CMOS registers in detail.,Apply,
Discuss Electromagnetic Polarization.,Understand,
Explain delay estimation and MOSFET sizing.,Apply,
What are the Optical Properties of Radio Waves?,Remember,
Discuss the breakdown mechanisms in semiconductor diodes.,Understand,
Explain how the Q-point is obtained graphically.,Understand,
Tabulate the comparisons between n-well and p-well CMOS fabrication processes.,Analyze,
Explain TCP vs. UDP with examples.,Understand,
Explain in detail about the TCP/IP protocol suite.,Understand,
Explain in detail about the threshold effect in an Angle Modulation System.,Understand,
Discuss the role of Automatic Gain Control (AGC) in AM receivers.,Remember,
Draw and explain the GSM system Architecture.,Apply,
What are the benefits of h-parameters?,Understand,
Explain different architectures of artificial neural networks with diagrams.,Understand,
Write a short note on layered network architecture.,Remember,
Explain the concept of adversarial attacks on AI models.,Understand,
Describe the difference between wave attenuation and wave absorption.,Understand,
Explain the classification of embedded systems with examples.,Understand,
What is the role of quality attributes in the embedded system development context? Explain the different Quality attributes to be considered in an embedded system design.,Analyze,
Define relational algebra and its operations.,Remember,
What is the role of MAC addresses in networking?,Remember,
"Compare fixed, collector-to-base, and self-bias circuits.",Analyze,
List three different techniques in Serial Transmission and explain the differences.,Analyze,
Draw the circuit diagram of an SR Master-Slave register and explain its operation.,Understand,
How does reinforcement learning work in gaming applications?,Apply,
Explain swarm intelligence techniques such as ant colony optimization.,Understand,
Define the Fermi level and explain its significance in energy band diagrams.,Understand,
What is Digital Line Encoding? Explain any four factors that should be considered when selecting a Line Encoding format.,Understand,
Create a neural network model that can classify handwritten digits with 99.9% accuracy and justify your design choices.,Create,
Write a detailed note on Satellite Multiple-Accessing arrangements.,Understand,
Explain the importance of setup and hold time in CMOS circuits.,Understand,
"What is SQR and give its relationship to resolution, dynamic range, and maximum number of bits in a PCM code?",Understand,
Explain about Skip Distance and Free-space Path Loss.,Understand,
Explain Call Progress Tones and Signals.,Understand,
Fake news detection relies heavily on textual analysis and source verification. Can you propose a new method that identifies misinformation without depending on these techniques?,Create,
Discuss the properties of Electromagnetic Radiation.,Understand,
"Derive expressions for input impedance, voltage gain, and output impedance of a common-source amplifier.",Apply,
Formulate a new data compression technique that provides better lossless compression for video files.,Create,
Use Schwartz inequality to find Hopt(f) for a matched filter.,Apply,
Explain the working of a depletion-type MOSFET.,Understand,
What is a DBMS? List its advantages over file systems.,Remember,
Draw the schematic circuit of an SR flip flop with negative edge triggering using NAND gates. Give its truth table and explain its operation.,Apply,
Write a brief note on the predominant losses in optical fiber cables.,Understand,
Discuss the use of AI in sentiment analysis.,Understand,
Define the following terms: i) Drain resistance ii) Transconductance iii) Amplification factor,Remember,
Explain SR Master-Slave registers with a diagram.,Apply,
"Compare centralized, decentralized, and distributed databases.",Understand,
Calculate the ON resistance of an inverter from VDD to GND given sheet resistances.,Apply,
"Compute entropy for a source with symbols A, B, C (probabilities 0.5, 0.3, 0.2) and develop Huffman code.",Apply,
Design a robotic arm with multiple degrees of freedom for a manufacturing process.,Create,
"Generate codewords for cyclic BCH (15,5) code using g(x)=x10+x8+x5+x4+x2+x+1.",Apply,
What are the functionalities of an operating system?,Remember,
Explain in detail about Mobile Telephone Services.,Understand,
How is AI used in robotics and automation?,Understand,
Explain the operation of a single-stage amplifier with a diode-connected load.,Understand,
Analyze a CMOS inverter with its transfer characteristics.,Analyze,
Classify and explain Data Communication Character Codes.,Understand,
Obtain CB parameters in terms of CE parameters.,Apply,
Explain in detail about Electromagnetic Polarization and Optical properties of radio waves.,Understand,
Write a short note on Multi-Frequency and Dial Pulses.,Remember,
What is aperture effect? Explain.,Understand,
Define Signal Analysis. Give a brief description of periodic signals.,Remember,
Explain the importance of chatbots in customer service.,Understand,
Write short notes on the ultra-deep-submicron era.,Remember,
Explain the operation of a photo transistor.,Understand,
Demodulate a PSK signal using a coherent receiver.,Apply,
Explain FinFET technology and its advantages over MOSFETs.,understand,
Explain briefly about the losses in Optical Fiber cables.,Understand,
Explain the problem of driving large capacitive loads. How can such loads be driven?,Understand,
Discuss the applications of AI.,Understand,
Explain different types of operating systems with examples.,Understand,
Design a gear system that can efficiently transfer motion between two non-parallel shafts. Explain your design choices.,Create,
Explain the significance of Pre-emphasis and De-emphasis in FM transmission.,Understand,
Explain the body bias effect.,Understand,
List out the difference between analog and digital systems.,Remember,
Explain Call Progress Tones and Signals.,Understand,
Explain OSI and TCP/IP models in computer networks.,Understand,
Explain the characteristics of neural networks.,Understand,
Explain the concept of punch-through/reach-through in a BJT.,Understand,
What is the role of stored procedures in DBMS?,Understand,
Discuss about laser diode.,Understand,
List out major application areas of embedded systems with examples.,Remember,
